[analog/charlm] dev cuda:6 vocab 284 params 173,596 train 8047 seqs
[analog] ep1/6 loss 2.5483 14.3s
[analog] ep2/6 loss 2.3591 14.4s
[analog] ep3/6 loss 2.2539 14.2s
[analog] ep4/6 loss 2.2011 14.4s
[analog] ep5/6 loss 2.2125 14.1s
[analog] ep6/6 loss 2.0865 14.3s

===== SSM 4-WAY CELL =====
variant                           : analog
task                              : charlm
seed                              : 0
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : {'theta': 0.1, 'noise': 0.02, 'bits': 6, 'rail': 4.0}
bpc                               : 3.1804
ppl                               : 9.065
acc                               : 0.3794
rate_emitted                      : 0.7224
rate_state                        : 0.9925
energy_pJ_per_token               : 452643.474
energy_pJ_per_token_conservative  : 627810.823
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_analog_AC': 230.4, 'W_mix_event_at_rz': 42608.2741, 'W_out_MAC': 334438.4}
saved -> ssm3way_runs/analog_charlm_s0.json
