[digital/charlm] dev cuda:0 vocab 284 params 173,596 train 8047 seqs
[digital] ep1/6 loss 2.7912 10.9s
[digital] ep2/6 loss 2.6340 11.5s
[digital] ep3/6 loss 2.4884 11.2s
[digital] ep4/6 loss 2.4243 11.6s
[digital] ep5/6 loss 2.3007 11.3s
[digital] ep6/6 loss 2.2659 11.6s

===== SSM 4-WAY CELL =====
variant                           : digital
task                              : charlm
seed                              : 1
params                            : 173596
vocab                             : 284
E                                 : 64
H                                 : 256
L                                 : 128
epochs                            : 6
lr                                : 0.002
lam                               : 0.0
target                            : None
analog                            : None
bpc                               : 3.354
ppl                               : 10.225
acc                               : 0.3418
rate_emitted                      : 1.0
rate_state                        : 1.0
energy_pJ_per_token               : 712448.0
energy_pJ_per_token_conservative  : 712448.0
energy_terms_pJ                   : {'W_in_MAC': 75366.4, 'state_MAC': 1177.6, 'W_mix_MAC': 301465.6, 'W_out_MAC': 334438.4}
saved -> ssm3way_runs/digital_charlm_s1.json
